imdb_title_identifier,domestic_gross,international_gross,worldwide_gross,name
tt0074205,3540307,0,3540307,The Big Bus
tt0074252,7144,0,7144,"Ugly, Dirty and Bad"
tt0074256,2783840,0,2783840,Bugsy Malone
tt0074285,33800000,0,33800000,Carrie
tt0074316,5021,0,5021,Chulas Fronteras
tt0074462,43539,16705,60244,Edvard Munch
tt0074483,46236000,0,46236000,The Enforcer
tt0074539,11234220,0,11234220,The Smurfs and the Magic Flute
tt0074599,21873000,0,21873000,Gus
tt0074751,52614445,0,52614445,King Kong
tt0074777,1819912,0,1819912,The Last Tycoon
tt0074798,5424178,0,5424178,Lifeguard
tt0074802,8328666,0,8328666,Lipstick
tt0074811,1924733,0,1924733,The Tenant
tt0074851,100072,396,100468,The Man Who Fell to Earth
tt0074860,21709020,0,21709020,Marathon Man
tt0074870,6048,0,6048,The Marquise of O
tt0074916,191953,0,191953,Mr. Klein
tt0074958,23689877,0,23689877,Network
tt0075005,60922980,0,60922980,The Omen
tt0075029,31800000,0,31800000,The Outlaw Josey Wales
tt0075040,12408,0,12408,Seven Beauties
tt0075066,33833201,0,33833201,The Pink Panther Strikes Again
tt0075148,117235147,0,117235147,Rocky
tt0075213,8091910,0,8091910,The Shootist
tt0075222,36145695,0,36145695,Silent Movie
tt0075223,51079064,0,51079064,Silver Streak
tt0075265,80000000,0,80000000,A Star Is Born
tt0075314,28262574,0,28262574,Taxi Driver
tt0075323,4979380,0,4979380,"That's Entertainment, Part II"
tt0075686,38251425,0,38251425,Annie Hall
tt0075718,19104350,0,19104350,The Bad News Bears in Breaking Training
tt0075765,15769322,0,15769322,Black Sunday
tt0075774,9300000,0,9300000,Bobby Deerfield
tt0075784,50750000,0,50750000,A Bridge Too Far
tt0075860,135189114,171700000,306889114,Close Encounters of the Third Kind
tt0075925,47346365,0,47346365,The Deep
tt0075938,26816,0,26816,"The Devil, Probably"
tt0076009,30749142,0,30749142,Exorcist II: The Heretic
tt0076042,43616,0,43616,A Grin Without A Cat
tt0076044,17732000,0,17732000,For the Love of Benji
tt0076052,290674,0,290674,Fraternity Row
tt0076054,25942000,0,25942000,Freaky Friday
tt0076070,26414658,0,26414658,The Gauntlet
tt0076123,815530,0,815530,Citizens Band
tt0076137,29000000,0,29000000,Herbie Goes to Monte Carlo
tt0076138,33500000,0,33500000,Heroes
tt0076141,31063038,0,31063038,High Anxiety
tt0076162,209765,0,209765,House
tt0076164,17368,0,17368,The Mighty Peking Man
tt0076175,1000000,0,1000000,March or Die
tt0076211,5596173,0,5596173,Islands in the Stream
tt0076234,839865,0,839865,Joseph Andrews
tt0076245,20714400,0,20714400,Julia
tt0076263,404508,12001,416509,Killer of Sheep
tt0076299,957,0,957,The Last Wave
tt0076306,306061,0,306061,Boarding School
tt0076327,22512655,0,22512655,Looking for Mr. Goodbar
tt0076451,16400000,0,16400000,"New York, New York"
tt0076489,41687243,0,41687243,"Oh, God!"
tt0076504,14717854,0,14717854,Orca
tt0076507,24652021,0,24652021,The Other Side of Midnight
tt0076538,39588000,0,39588000,Pete's Dragon
tt0076591,3223888,0,3223888,"Race for Your Life, Charlie Brown"
tt0076618,71215869,0,71215869,The Rescuers
tt0076628,27182,0,27182,Nest of Vipers
tt0076666,94213184,142900000,237113184,Saturday Night Fever
tt0076706,3456,0,3456,Short Eyes
tt0076721,1318823,0,1318823,Skateboard
tt0076723,28000000,0,28000000,Slap Shot
tt0076729,126737428,0,126737428,Smokey and the Bandit
tt0076752,46838673,0,46838673,The Spy Who Loved Me
tt0076759,460998507,314400000,775398507,Star Wars: Episode IV - A New Hope
tt0076843,25933445,0,25933445,The Turning Point
tt0076855,19919,0,19919,"One Sings, the Other Doesn't"
tt0077158,7932571,0,7932571,American Hot Wax
tt0077199,7092495,0,7092495,The Bad News Bears Go to Japan
tt0077233,13062708,0,13062708,The Big Fix
tt0077248,6521083,0,6521083,Blue Collar
tt0077272,5011158,0,5011158,Brass Target
tt0077275,7909950,0,7909950,The Brink's Job
tt0077278,21671241,0,21671241,Buck Rogers in the 25th Century
tt0077280,14363400,0,14363400,The Buddy Holly Story
tt0077288,20424259,0,20424259,La Cage aux Folles
tt0077296,3930501,0,3930501,Caravans
tt0077360,9585769,0,9585769,Comes a Horseman
tt0077362,32653905,0,32653905,Coming Home
tt0077369,22765081,0,22765081,Convoy
tt0077372,15514367,0,15514367,Corvette Summer
tt0077394,26518355,0,26518355,Omen II: Damien
tt0077405,3446749,0,3446749,Days of Heaven
tt0077413,14560084,0,14560084,Death on the Nile
tt0077416,48979328,12498,48991826,The Deer Hunter
tt0077504,44917151,0,44917151,The End
tt0077523,85196485,0,85196485,Every Which Way but Loose
tt0077530,20000000,0,20000000,Eyes of Laura Mars
tt0077531,20388920,0,20388920,F.I.S.T.
tt0077557,641768,0,641768,Five Days from Home
tt0077572,7230000,0,7230000,Force 10 from Navarone
tt0077578,44999621,0,44999621,Foul Play
tt0077621,7435671,0,7435671,Goin' South
tt0077629,5438927,0,5438927,Gray Lady Down
tt0077631,188755690,206200000,394955690,Grease
tt0077636,14672713,0,14672713,The Greek Tycoon
tt0077651,47000000,0,47000000,Halloween
tt0077663,81640278,0,81640278,Heaven Can Wait
tt0077696,78000000,0,78000000,Hooper
tt0077699,28460702,0,28460702,House Calls
tt0077714,1944682,0,1944682,I Wanna Hold Your Hand
tt0077742,10432366,0,10432366,Interiors
tt0077743,7009238,0,7009238,International Velvet
tt0077745,24946533,0,24946533,Invasion of the Body Snatchers
tt0077766,81766007,106118000,187884007,Jaws 2
tt0077807,7325177,0,7325177,King of the Gypsies
tt0077830,69338,0,69338,BBC2 Play of the Week: Langrishe Go Down
tt0077838,322313,14772,337085,The Last Waltz
tt0077869,30471420,0,30471420,The Lord of the Rings
tt0077928,35000000,0,35000000,Midnight Express
tt0077942,10963824,0,10963824,Moment by Moment
tt0077975,141600000,0,141600000,National Lampoon's Animal House
tt0078008,9453,0,9453,Northern Lights
tt0078011,52195,0,52195,Nunzio
tt0078034,16928137,0,16928137,The One and Only
tt0078044,11565678,0,11565678,The Other Side of the Mountain: Part II
tt0078047,1997705,0,1997705,Our Winning Season
tt0078056,7185518,0,7185518,Paradise Alley
tt0078111,5786368,0,5786368,Pretty Baby
tt0078158,16393000,0,16393000,Return from Witch Mountain
tt0078163,49579269,0,49579269,Revenge of the Pink Panther
tt0078199,19703082,0,19703082,"Same Time, Next Year"
tt0078227,37187139,0,37187139,Semi-Tough
tt0078239,20378470,0,20378470,Sgt. Pepper's Lonely Hearts Club Band
tt0078326,9900000,0,9900000,Straight Time
tt0078346,134451603,166000000,300451603,Superman
tt0078442,494797,0,494797,Uncle Joe Shannon
tt0078446,44364244,0,44364244,Up in Smoke
tt0078504,21049053,0,21049053,The Wiz
